Arabic_Names,English_Names
فاروق يوسف,Farouk Yousef
فريال بدر,Ferial Badr
اشرف,Ashraf
أحمد الدلة,Ahmed Aldla
سهير مصطفى,Suheir Mostafa
أمين رياض,Amin Riad
علوي فريد,A unique loft
سمير رستم,Samir Rustam
نور الشريف,Nour El-Sherif
عزمى فرج,Azmi Faraj
محمد خيري,Mohamed Khairi
أحمد خليل,Ahmed Khalil
أحمد عنان,Ahmed Annan
محمود جبر,Mahmoud Jabr
سليم صبري,Salim Sabri
أحمد عداس,Ahmed Adas
نزار فؤاد,Nizar Fouad
محمد العقاد,Mohamed Akkad
فهد كعيكاتي (أبو فهمي),Fahad Kaikati (Abu Fahmy)
ميليا شمعون,Melia Chamoun
يوسف شويري,Yousef Choueiri
لويس بدوي,Louis Badawi
وصفي المالح,Descriptive Malih
زهير حداد,Zuhair Haddad
نور كيالي,Nour Kayali
سمير خولي,Samir Kholy
عبدالرحمن نور الله,Abdulrahman Nour Allah
ريما قصيباتي,Rima Qusaybati
دينا لحام,Dina Laham
ديانا لحام,Diana Laham
نزار باكير,Nizar Bakir
ليلى غانم,Laila Ghanem
جلاديس ابوجودة,Gladys Abojouda
أماليا أبي صالح,Amalia Abi Saleh
فؤاد الأثاث,Fouad Furniture
سناء يوسف,Sanaa Yousef
ليلى حسن,Laila Hassan
حبيبة (جلاديس),Habiba (Glades)
نايل عبدالمقصود,Nile Abdel Maqsoud
محيي إسماعيل,Mahi Ismail
حمدي يوسف,Hamdi Youssef
عقيلة رفعت,Rifaat &#39;s Wife
راوية عاشور,Rawia Ashour
علي عزب,Ali Azab
حسن شبل,Hassan Chebble
وحيد سيف,A single sword
ليلى حافظ,Laila Hafez
سامية سامي,Samia Sami
اعتدال صديق,Moderate friend
عبدالرحمن حامد,Abdulrahman Hamed
عصام العشري,Essam Al - Ashri
هالة أنور,Hala Anwar
كوثر حجازى,Kawther Hijazi
فوزية عزت,Fawzia Ezzat
راجية إبراهيم,Rajia Ibrahim
فتحية رشدي,Fathia Rushdi
ماجد فهمي,Majid Fahmy
ليلى نظمي,Laila Nazmi
صبحى فؤاد,Sobhy Fouad
فاروق مشالى,Farouq Mashali
ريري أحمد,Reiry Ahmed
فاروق الرشيدي,Farouk Al - Rashidi
عبدالحميد المنير,Abdul Hamid Al - Munir
فيفي فياض,Fayfi Fayyad
محمود السيد,Mahmoud ElSayed
سامى الجمل,Samy El Gamal
رأفت الهواري,Raafat Al Hawari
زهرة امام,Flower in front of
الين,JPY
سونى,Sony
كوثر صبحي,Kawthar Sobhi
عبدالحى حبيب,Abdelhaby Habib
حسن السبكي,Hassan al-Sabki
وفيق فهمي,Wafiq Fahmi
أحمد شكري (أحمد شكري الصقال),Ahmed Shukri (Ahmad Shukri Al-Saqal)
حلمي الزمر,Helmi Al Zomor
محمد الجدي,Mohamed El Gedi
عزيز فايق,Aziz Fayek
محمد علام,Mohammed Allam
فاطمة مظهر,Fatima Mazhar
فاتن فريد,Faten Farid
منى إبراهيم,Mona Ibrahim
محمد بهجت,Mohamed Bahgat
عبدالله فرغلي,Abdullah Farghali
جمال إمام,Jamal Imam
أوزجان تيكول,Ozgan Tekol
آمال شوكت,Amal Shawkat
على شان,Because
آيتون سيرت,Eaton Cert
سامى حزين سيس,Samy sad sad
تورون كاراجا اوغلو,Torun Karaja Oglu
فاروق بانتير,Farouk Bantir
ياشير أيرسوي,Yashir Ayersui
حقي أقطان,My right is cotton
فونزو أديولو,Fonzo Adiolo
بوكي أجاي,Bucky Ajay
دانيال الالاد,Daniel Elad
بولاجي اكيكبوجن,Paulaji Akkebogen
مواليه سورزلاند,Moyle Surzland
انيلا أولومجبون,Anila Oloumgbon
اولو أجبولا,Oulu Ajbola
بوب دافيس,Bob Davis
بوزه اولود,Bose Olud
باتريشيا غراهام,Patricia Graham
ملكه زايد,His Majesty Zayed
مصطفى الشقنقيري,Mustafa Al-Shqankiri
نادية رشاد,Nadia Rashad
حسن عابدين,Hassan Abdeen
محسنة توفيق,Improved Tawfiq
جلال توفيق,Jalal Tawfiq
رشاد عثمان,Rashad Othman
ميرفت سعيد,Mervat Said
حامد حنفي,Hamed Hanafi
رشدي سلام,Rushdie peace
مجدي وهبة,Magdy Wahba
مرجان,coral
نهلة,Nahla
سامي عطار,Sami Attar
منى واصف,Mona Wassef
هاني الروماني,Hany the Roman
صبرية,Sabria
إيلي غريبة,Eli is curious
صلاح قصاص,Salah Qassas
محمود المصرى,Mahmoud Al-Masry
عدنان العاقل,Adnan Al - Aqeel
محمد علي عبده,Mohammed Ali Abdo
غادة كيلاني,Ghada Kilani
عبدالرحمن الخميسي,Abdulrahman Al-Khamisi
ايمان شريف,Iman Sharif
البرنس أبو الفتوح,Prince Aboul Fotouh
إبراهيم خورشيد,Ibrahim Khorshid
 مصطفى كامل,Mustafa Kamel
توفيق الكردي,Tawfiq al-Kurdi
عماد محرم,Imad Muharram
سهير أحمد,Suheir Ahmed
إبراهيم نصر,Ibrahim Nasr
ناجي سيد,Nagy Sayed
سعاد صبري,Suad Sabri
عبدالحميد أنيس,Abdul Hamid Anis
كريمة البدراوى,Karima Al - Badrawi
جابر مصطفى,Jaber Mustafa
اكرام رشدى,Ikram Roshdy
نبيل مبروك,Nabil Mabrouk
حسن الصغير,Hassan al-Saghir
مينا كريستوفر,Christopher Mina
منى فريد,Mona Farid
سميرة سالم,Samira Salem
طه محمود حسن,Taha Mahmoud Hassan
نادرة أحمد,Nadra Ahmed
زينات الفولي,Foley decorations
احلام رشدي,Dreams of Rushdie
عبدالفتاح محمد,Abdul Fattah Mohammed
مصطفى المصري,Mostafa El Masry
نادية حسن,Nadia Hassan
زينب احمد,Zainab Ahmed
سامية عزام,Samia Azzam
أحمد اللايج,Ahmed Laij
علي غازي,Ali Ghazi
إبراهيم راتب,Ibrahim Rateb
ابراهيم صبح,Ibrahim Sobh
عادل جودة,Just quality
هاني شوقي,Hani Shawky
سمير سعد الدين,Samir Saad Eddin
نادية الكيلاني,Nadia El Kilani
سهير توفيق,Suheir Tawfiq
عبدالحليم النحاس,Abdul Halim Al-Nahhas
علي بن عياد,Ali bin Ayyad
أحمد حماشي,Ahmed Hamachi
محيي الدين عبدالجواد,Mohieddin Abdul Jawad
زينة,Accessories
زيزي مناع,Zizi Manna
سعاد عبدالعزيز,Suad Abdulaziz
اسلام ندا,Islam Nada
مظهر أبو النجا,Appearance of Abu Naga
رويدا علام,Rowa Alam
أنور عبدالعزيز,Anwar Abdul Aziz
فخري عازر,Fakhri Azar
راقية الدماطي,Upscale
أحمد كامل عوض,Ahmed Kamel Awad
جورج البهجوري,George El Bahgoury
ممتاز أباظة,Excellent Abaza
أحمد نصار,Ahmed Nassar
سارة توفيق,Sarah Tawfiq
عادل عثمان,Adel Osman
تغريد عبدالحميد (تغريد علي),Taghreed Abdul Hamid (Taghreed Ali)
محمد درديري,Mohamed Dardairy
أحمد عبدالوارث,Ahmed Abdel-Warth
إيلي ضاهر,Elie Daher
جوزيه فارجن,Jose Fargin
أويا بيري,Oya Perry
جعفر خان,Jafar Khan
احمد,Ahmed
نورهان ,Nourhanne
محمد علي غراب   ,Mohamed Ali Ghorab
علي مرجان ,Ali Morgan
ألمظ كريم,Almaz Karim
عزيزة جعفر   ,Aziza Jaafar
حسن جميل    ,Good and beautiful
حسن الوالي ,Hassan Al Wali
أنيسة عبده,Anisa Abdo
طلال مراد ,Talal Mourad
أحمد سيران    ,Ahmed Serran
هناء البيلى,Hana Baily
محيي الدين شوقي,Mohieddin Shawky
نجوى إبراهيم,Nagwa Ibrahim
علي الشريف,Ali Sharif
محمد الطيب,Mohammed Eltayeb
حمادة حسام الدين,Hossam El Din
دينا عبدالله,Dina Abdullah
رأفت أحمد,Raafat Ahmed
حنان يوسف,Hanan Youssef
عباس نديم,Abbas Nadeem
جونيت آركين,Jonette Arkin
سميرة السمراء,Samira El Samara
هوليا دارجان,HOLYA DARGAN
سمير فوزي,Samir Fawzi
مرسيل هاشم,Marcel Hashem
نجلاء الهاشم,Najla al-Hashem
عدنان بياري,Adnan Biari
مايلخ بونج,Millekh Pong
رباب,Rabab
توفيق هدايت,Tawfiq Hidayat
نيفين نور الدين,Neven Nour El Din
خميس مرزبان,Khamis Marzban
حسين فهمي,Hussein Fahmy
هويدا,Howaida
لينا شوقي,Lina Shawky
هياتم,Hayatem
أحمد أبو سمرة,Ahmed Abu Samra
محمد العسكري,Mohammed al-Askari
فاضل مختار,Fadel Mokhtar
محروس عبدالحميد,Mahrous Abdul Hamid
أحمد فتحي,Ahmad Fathi
إبراهيم مهدي,Ibrahim Mahdi
دلال حسني,Dalal Hosny
إبراهيم فتحي,Ibrahim Fathi
كمال مرسي,Kamal Morsi
كيتونى,Kitony
حسن الحساني,Hassan al-Hassani
زيانى,Xiani
بريجيت هارير,Brigitte Harrier
عدلي يوسف,Adly Youssef
هاجوب,Hagop
نيرة والي,Nira Wali
حامد حيدر,Hamid Haidar
منى سالم,Mona Salem
صبري العبد,Sabri Al Abd
هناء عامر,Hana Amer
خالد مشعل,Khaled Mishal
محمد حمام,Mohamed Hammam
عبدالوهاب خليل,Abdul Wahab Khalil
حسن أنور,Hassan Anwar
عطيات حسين,Attiyat Hussein
نبيل لوقا,Nabil Luke
بدرية عبدالجواد,Badriya Abdul Jawad
زيزي فريد,Zizi Farid
ايلينا ماريا تيخيرو,Elena Maria Teghero
روبين روخو,Robin Rojo
كارولوس مونوز,Carolus Monoz
عبدالسلام العمرانى,Abdul Salam Al Omrani
عفو الله أحمد,God forgive Ahmed
بتول,Batul
محمد عفيفي,Mohamed Afifi
بول بارج,Paul Barge
ليزيت آنوكيان,Lizit Anoukian
عفاف الباز,Afaf Al Baz
بكر رضوان,Bakr Radwan
فاتن فؤاد,Faten Fouad
أبوالسعود طه,Facebook Facebook logo
فاروق حنفي,Farouk Hanafi
عدلي الشرقاوي,Adly al-Sharqawi
سعد الفرج,Saad Al-Faraj
محمد المنصور,Mohamed El Mansour
حياة الفهد,Hayat Al Fahad
نوال باقر,Nawal Baqer
عبدالله خريبط,Abdullah Khreibt
حسين السلمان,Hussein Al-Salman
أحمد الراشد,Ahmed Al Rashed
مكي القلاف,Macky the Clove
علي المفيدي,Ali al-Mufidi
يوسف درويش,Yousef Darwish
أحمد الصالح,Ahmed Saleh
محمد المنيع,Mohammed Al - Manea
فرقة أم زايد,Umm Zayed Band
فرقة الرندي الشعبية,Popular Randy Band
حمد ناصر,Hamad Nasser
عبدالعزيز المسعود,Abdul Aziz Al Masoud
محمد عناني,Mohammed Anani
توحيدة,Tohida
طلعت عطية,Talaat Attieh
منير زخاري,Mounir Zakhari
نادية أرسلان,Nadia Arslan
جوزيف معوض,Joseph Moawad
ليلى جمال,Laila Jamal
محمد نجم,Muhammad Najm
فرفور,Farfur
جلال شبكة,Jalal Network
حسين عزب,Hussein Azab
فؤاد زكى,Fouad Zaki
إبراهيم فاروق,Ibrahim Farouk
جينا الجيار,Gina Aljayar
إبراهيم عامر,Ibrahim Amer
احمد الحليلي,Ahmed Al-Haili
سامية الطوخى,Samia Toukhi
عمر خيرت,Omar Khayrat
أمل إبراهيم,Amal Ibrahim
فاتن,Faten
علي عز الدين,Ali Ezz El Din
رجاء عارف,Please Arif
جوني غارو,Johnny Garrow
اليان شلفون,Allan Schlafon
تيودورا راسي,Theodora Rasi
دين تيرنر,Dean Turner
هلال نويري,Hilal Noiri
عادل خوري,Adel Khoury
روجيه بولس,Roger Paul
منى صلاح,Mona Salah
شفيق محمود,Shafiq Mahmoud
أحمد شاهين,Ahmed Shaheen
محمد الحياني,Mohamed Hayani
هشام ثروت,Hisham Tharwat
عبدالمقصود الرشيدي,Abdulmaksoud Al-Rashidi
هلالي سيد,Hilali Sayed
ناجي عزقلاني,Naji Azqalani
كريمة مجدي,Karima Magdy
فؤاد معوض,Fouad Moawad
سهير صبري,Suheir Sabri
عفاف شعيب,Afaf Shoaib
محمد عادل,Mohamed Adel
غسان مطر,Ghassan Matar
عواطف شكري,Emotional feelings
سلمى امين,Salma Amin
محمد منسى,Mohamed Mansy
سامي امين,Sami Amin
أكرم الأحمر,Akram the Red
سيلفانا بدرخان,Sylvana Badrakhan
كيغام,Kigam
كهرمان,amber
بيجي عريس,Peggy&#39;s friends
طلحت حمدي,Talhat Hamdi
زكريا المصري,Zakaria El Masry
يوسف فخري,Yousef Fakhri
عايدة الشاعر,Aida the poet
عبدالله بيومى,Abdullah Bayoumi
ماجدة صالح,Magda Saleh
عمر خورشيد,Omar Khorshid
سميرة مرقص,Samira Morcos
ليلى عيسى,Laila Issa
فؤاد فهمى,Fouad Fahmy
سيد عبدالكريم,Sayed Abdul Karim
علي السيد,Ali Al Sayed
صلاح مرعي,Salah Mari
سامي واصف,Sami Wassef
سمير نوار,Samir Nawar
فتحي عزت,Fathi Ezzat
مصطفى الزناتي,Mostafa El Zanaty
أشرف السرتي,Ashraf Alsarti
عمر ناجي,Omar Naji
أميرة زيتون,Princess Olive
سيف الدين شوكت,Saif Eddin Shawkat
فالنتينا,Valentina
سلمى المصري,Salma El Masry
إيمان طرقجي,A religious belief
ندى صلاحي  ,Nada Salahy
فاتن حلال,Faten Halal
هيفاء فرنجية,Haifa Franjieh
رياض شحرور,Riad Shahrour
ماهر الصوص,Maher Alsous
سحر حسامي,Sahar Hasami
محمد الشيخ نجيب,Mohammed Sheikh Najib
حياة شاكر     ,The Life of Shaker
محمد طرقجي,Mohamed Tarekji
ألفا,alpha
أسامة خلقي,Osama Khalqi
جميل العبد,Beautiful slave
ناهد حلبي,Nahed Halabi
رنا عجة,Rana Ouja
مها المصري,Maha Al Masri
لينا باتع,Lina Bata
فريال شموس,Ferial Shamus
صالح خلقي,Saleh Khalqi
إعتدال غلا الحليب,Moderation milk milk
عزت شراباتي,Izzat Sharabati
فيكديز,Vicdez
صباح الجزائري,Algerian morning
شكرية خشفة,Shukriya Jafah
نادرة الأسطة,Rare place
غادة المير,Ghada Al Meer
رحاب كيالي,Rehab Kayali
زورا,False
جميل ولاية,Beautiful state
صباح فرنجية,Morning Franjieh
فاديا حسامي,Fadia Hassami
هشام المصري,Hisham El Masry
فاطمة قدورة ,Fatima Kadoura
وفاء خشفة,Wafa Khashfa
سامي توبان,Sami Toban
عامر جميل,Amer Jamil
عمر ولاية ,Age of state
مها الصالح,Maha the Good
ياسين أرناؤوط,Yasin Arnaout
هاني شاهين,Hani Shaheen
شارلوت رشدي,Charlotte Rushdie
أديب شحاده,Adeeb Shehadeh
أحمد مسالخي,Ahmed Masalhi
أزهار,Flowers
نهى أبو سمرة,Noha Abu Samra
عادل عامر,Adel Amer
مروان استانبولي,Marwan Istanbuli
ربيع قباني,Rabie Qabbani
محمود دراجى,Mahmoud Darraji
سلوى محمد,Salwa Mohammed
أحمد زعيبى,Ahmed Zaibi
جميلة عرابى,Beautiful Orabi
أنيسة لطفي,Anisa Lotfi
مختار حشيشة,Mokhtar Hasheisha
الحبيب الشعري,The poet lover
الزهرة فائزة,The flower is a winner
سيف أبو النجا,Saif Abou El Naga
هشام سليم,Hisham Saleem
احمد نجيب,Ahmed Naguib
أسامة أبو الفتوح,Osama Abou El Fotouh
ليلى حمادة,Laila Hamada
هانم محمد,Hanim Mohammed
عفاف وجدي,Afaf and Wagdy
نادية عبدالسلام,Nadia Abdel Salam
زهير شلبي,Zuhair Shalaby
ربيع كنعان وصفي,Rabea Kanaan descriptive
محمد صبحي,Mohamed Sobhi
هالة الصافي,Hala Al Safi
صافى,Clear
بسام لطفي,Bassam Lotfi
ناجي جبر,Naji Jaber
عاطفة خالدي,Emotion of Khalidi
جورج كنعان,George Canaan
أسامة عباس,Osama Abbas
ايجاروف,Rent
علي كمال,Ali Kamal
حمدية حسين,Hamdiya Hussein
رشاد السيد,Rashad El Sayed
بكري العطار,Bakri Al Attar
أنور السردار,Anwar Sardar
شكرية عبدالكريم,Shukria Abdul Karim
رياض سعيد,Riad Said
فاتخ غضنفر,He is jealous
عبدالكريم سماقية,Abdul Karim Samakia
سوزى حمدى,Suzie Hamdi
نزار زوبري,Nizar Zubri
حكمت ارمنازي,Hikmat Armani
فايزة عادل,Fayza Adel
سعدية غريب,Saadia Ghareeb
عبدالله الغول,Abdullah Al Ghoul
بشير انيس,Bashir Anis
وليد حداد,Walid Haddad
محي الدين موصللي,Mohiuddin Moussalli
داليا,Dalia
محمد متولي,Mohamed Metwally
مصطفى متولي,Mustafa Metwally
احلام شعراوي,Dreams of Shaarawi
نادية زغلول,Nadia Zaghloul
عزة شريف,Izzat Sharif
نجوى سلطان,Najwa Sultan
شاكر عبداللطيف,Shaker Abdul Latif
علي الشريف الصغير,Ali Al Shareef Al Sagheer
يسرية محمود,Yousry Mahmoud
منى والى,Mona Wally
عبدالغفار رشاد,Abdul Ghafar Rashad
شهيرة,Famous
فكري صادق,Think Sadek
سامح راشد,Sameh Rashed
عبده أمين,Abdo Amin
الهام كامل,Full inspiration
فاطمة الزهراء,Fatima Alzahraa
رابحة,Winning
صلاح مصطفى,Salah Mustafa
لوسي نيشان,Lucy Nichan
شهيرة عبدالسلام,Shahira Abdel Salam
صلاح أبو سيف,Salah Abu Saif
حسين كمال,Hussein Kamal
عائشة عبدالسلام,Aisha Abdel Salam
جورج حداد,George Haddad
فرقة حسن بنات الرياضية,Hassan Girls Sports Band
حسين عمر,Hussein Omar
لاكشمي ناير,Lakshmi Nair
ناهد جبر,Nahed Jaber
علية أبو شادي,Alia Abu Shadi
نادية صبري,Nadia Sabri
نعمات السيد,Mr. Nemat
فاروق توفيق,Farouk Tawfiq
محمد الزكى,Mohamed El Zaki
ليلى صابونجي,Laila Sabungi
فايق عزب,Fayek Azab
حسن حفناوي,Hassan Hafnawi
انيس الغندور,Anise Ghandour
أنور العسكرى,Anwar al - Askari
عصام رجي,Essam Rajy
أفرام سعد,Afram Saad
ناجي أنجلو,Nagy Angelo
سامح السيد,Mr. Sameh
حمدي حافظ,Hamdi Hafez
خالد زكي,Khaled Zaki
أمان محيي الدين,Aman Mohieddin
ليلى الشافعي,Laila El Shafei
أحمد عبدالهادي,Ahmed Abdul Hadi
نصيف أبو اليمين,Naseef Abu-Yamin
عزيزة راشد,Azizah Rashed
شوقي متى,Shawky Matthew
عبد عواد,Abdul Awad
نديم فرحات,Nadim Farhat
ستيفاني,Stephanie
طوني أيوب,Tony Ayoub
جورجينا رزق,Georgina Rizk
أسعد رشدان,Asad Roshdan
خليل حمود,Khalil Hamoud
أحمد بدير,Ahmed Bedair
نهال أبو اليزيد,Nehal Abu Al Yazeed
سميرة,Samira
روبير صايغ,Robert Sayegh
حسين الإمام,Hussein Imam
صلاح العجوز,Old Salah
سيد أحمد,Mr Ahmed
امين منصور,Amin Mansour
هانى كوتة,Hany Kota
ابراهيم صبرى,Ibrahim Sabry
محمد العربي,Mohammad Al Arabi
حسن الحسني,Hassan Al Hassani
سيد أحمد أقومي,Sayed Ahmed Akoumi
حسين عرعر,Hussein Arar
نورا أباظه,Noura Abaza
سيد اللبان,Master of frankincense
محمد أسامة,Mohammed Osama
شوشو جميل,Shoshu is beautiful
حسن الديب,Hassan Al Deeb
مدحت ثروت,Medhat Tharwat
فايز حلاوة,Fayez Halawa
عبدالرحمن ظريف,Abdulrahman Zarif
سعاد نصر,Soad Nasr
عبدالمنعم عيسى,Abdel Moneim Issa
جليلة محمود,Jalila Mahmoud
علي عبدالمقصود,Ali Abdulmaksood
عزيزة عزت,Aziza Izzat
عادل زكريا,Adel Zakaria
  فاروق إبراهيم,Farouk Ibrahim
سعيد حسن,Said Hassan
عبدالقادر حلمي,Abdulqader Helmi
فؤاد شريف,Fouad Sherif
سفدا فرداغ,Sveda Verdag
ايسين بسكول,Essien Biscoll
إرول بيوكبورج,Errol Bjorkburg
فاهي يوز,Fahi Yooz
خالد عبدالله الصقعبي,Khaled Abdullah Al Saqabi
محمود جاويش,Mahmoud Gawish
حلمي الادهمي,Helmy El Adhamy
غازي هواش,Ghazi Hawash
علي ابو سمرا,Ali Abu Samra
نور الهدى صبري,Nour El Hoda Sabry
فتوح محمد,Fattouh Mohammed
جان بيار ركاميه,Jean Pierre is gross
خالد أبو السعود,Khaled Abu Al-Saud
مختار الأسود,Mokhtar Al Aswad
فاطمة وجدي,Fatima Wagdy
محمد لطفي,Mohamed Lotfy
سامي العدل,Sami Justice
إدريس بن كيران,Idris Ben Kiran
محمد السحار,Mohamed El Sahar
نبيلة النابلسي,Nabila Nabulsi
صلاح يحيى,Salah Yahya
سيد زكي,Sayed Zaki
محمد فريد,Mohamed Farid
بهية حسن,Bahia Hassan
يونس شلبي,Younes Shalaby
أحمد زكي,Ahmed Zaki
هادي الجيار,Hadi Al-Jayyar
خالد السيد,Khaled Al Sayed
سوزان سعد الدين,Susan Saad Eddin
محمود القلعاوي,Mahmoud al - Qal&#39;awi
فريدة يوسف,Farida Yousef
أحمد عدوية,Ahmed Adaweya
سيمون,Simon
ايناس سعودي,Saudi Inas
اوسة الحلو,Sweet
سمير حسني,Samir Hosni
زوزو مصطفى,Zuzu Mustafa
يوسف عثمان,Youssef Osman
محمد صفوت,Mohammed Safwat
نادية أنور,Nadia Anwar
محمود قابيل,Mahmoud Cain
سيد شحات,Sayed Shehata
سامح مرسي,Sameh Morsi
سعيد عبدالغني,Said Abdul Ghani
إيناس أحمد,Inas Ahmed
أحمد سلامة,Ahmed Salama
مدحت جمال,Medhat Jamal
سيد عبدالعزيز,Sayed Abdul Aziz
لطفي الضيف,Lotfi guest
سمير رشدي,Samir Rushdie
مكرم صالح,Makram Saleh
أحمد أيوب,Ahmed Ayoub
أميرة فؤاد,Princess Fouad
عبدالفتاح الزين,Abdul Fattah Al Zain
أنطوانيت نجيب,Antoinette Naguib
سيلفيا خياط,Sylvia Khayat
عمر الكوشة,Omar Al-Kushah
إيمان نصار,Iman Nassar
مصطفى فهمي,Mustafa Fahmy
محمود دويدار,Mahmoud Dawidar
نادية فؤاد,Nadia Fouad
نبيل الدسوقي,Nabil Dessouki
سوزي,Suzy
عبد الحميد أنيس,Abdulhamid Anis
محمد العشري,Mohamed El-Ashry
حلمي أبو هيف,Helmy Abou Heif
شاهيناز,Shahinaz
رجاء أمين,Please
غاده,Ghada
حسن مصطفى علي,Hassan Mostafa Ali
جورج ميخائيل,George Michael
صفية العمري,Safia Al Amri
سمير يزبك,Samir Yazbek
احمد رويشيد,Ahmed Rwaished
على بوبات,On Boubat
بول ميرس,Paul Meyers
الآن فليك,Now Flake
كمال فتحى,Kamal Fathy
سيد علي كويرات,Sayed Ali Quirat
احمد قادر,Ahmed Kader
أحمد قرني,Ahmed Qarni
محمد مختار,Mohamed Mokhtar
شافية بوذراع,Safia Bouzarraa
عصمت عامر,Ismat Amer
هاني حسني,Hani Hosny
أحمد الزين,Ahmed Al Zain
عزة كمال,Azza Kamal
حمدي الشريف,Hamdi El Sherif
هشام العشري,Hisham El Ashry
صافيناز محروس عامر,Safinaz Mahrous Amer
عدنان بركات,Adnan Barakat
ياسين بقوش,Yasin Bagosh
عبدالمولى غميض,Abdolmoly Ghameed
رياض نحاس,Riad Nahas
نبيل رعد,Nabil Raad
ناريمان محمد,Nariman Mohammed
رأفت الشريف,Raafat El Sherif
هيثم جبر,Haytham Jabr
فياض رمضان,Fayyad Ramadan
نزار أيوب,Nizar Ayoub
نبيل بدر,Nabil Badr
هندام محمد,Hindam Mohamed
المنتصر بالله,The victor in God
رؤوف رزق,Rauf Rizk
هند أبو السعود,Hind Abu Al-Saud
فريال فرغلى,Ferial Farghaly
وحيد يسري,Wahid Yousry
شريف لطفي,Sherif Lotfi
مروان حماد,Marwan Hammad
صوفي تكلا,Sophie Takla
هدى عبدالوهاب,Huda Abdel Wahab
خالد أمين حسنين,Khaled Amin Hassanein
عماد عبدالحليم,Emad Abdel Halim
إسعاد يونس,Yousef Younis
سعاد احمد,Soad Ahmed
صباح توفيق,Sabah Tawfiq
وحيد دسوقي,Single Dasouki
عبدالعزيز عيسى,Abdulaziz Issa
بثينة نصار,Buthaina Nassar
مينا سولاري,Mina Solari
يوسف سزكين,Yousef Sezkin
ايدن تيزال,Eden Tizal
جاهد ارجات,Jahid Arjat
نسرين,Nisreen
فريدة سيف النصر,Farida Seif El Nasr
آمال العريس,The groom&#39;s hopes
عبدالكريم عمر,Abdul Karim Omar
زكريا عرداتي,Zakaria Ardati
حماده امين,Hamada Amin
إسماعيل نعنوع,Ismail Naana
عبدالله فريدي,Abdullah Faridi
غادة واصف,Ghada Wassef
منى رعد,Mona Raad
بولا بيروني,Paula Peroni
فريال جفان,Ferial Jaffan
نشأت أباظة,Abaza grew up
فتحى أحمد,Fathy Ahmed
عايدة رياض,Aida Riad
سمير عزيز,Samir Aziz
سامي فهمي,Sami Fahmy
جميل راتب,Jamil Rateb
صافيناز,Safinaz
عطية عويس,Attieh Aweys
نعيم عيسى,Naeem Issa
سمية الألفي,Toxicity of the two thousand
عثمان شكري سليم,Osman Shukri Salim
زينات فهيم,Zeinat Fahim
مجدي مجاهد,Magdy Mujahid
لوسي,Lucy
أسعد فضة,The happiest silver
عبدالله حصوة,Abdullah Haswa
امين خوري,Amin Khoury
توفيق العشا,Tawfiq al-Asha
نايف الغالي,Nayef Al Ghali
مظهر جليلاتي,The appearance of the gilti
غادة وهبة,Ghada Wahba
إبراهيم الكردي,Ibrahim Kurdi
غادة بشور,Ghada Bashour
فؤاد الأتات,Fouad Atat
سمير المصرى,Samir El Masry
داود يعقوب,David Jacob
يعقوب أبو غزالة,Jacob Abu Ghazaleh
عبدالفتاح المزين,Abdel Fattah Almzain
يوسف الأبطح,Yousef Al - Abtah
باربرا ستريسند,Barbara Strisnd
جيمس كان,James was
رودي ماكدويل,Roddy McDowell
يوسف العسال,Yousef Al - Assal
أحمد الخليلي,Ahmed Khalili
إبراهيم شعبان,Ibrahim Shaaban
إبراهيم فايق,Ibrahim Fayek
حلمي محمود,Helmy Mahmoud
عبدالعزيز مخيون,Abdul Aziz Makhion
طارق النهري,Tarek Al Nahri
عزيز حافظ,Aziz Hafez
عاطف طنطاوي,Atef Tantawi
نبيلة قابيل,Nabila Cain
نعمات عبدالناصر,Naamat Abdel Nasser
صلاح رجب,Salah Rajab
الريس بيرة,Rais Beer
فؤاد الزهيري,Fouad Al - Zuhairi
هيام عبداللطيف,Hiyam Abdul Latif
صفاء العبدالله,Safaa Al Abdullah
هيفاء واصف,Haifa Wasef
حياة سعيد ,happy life
محمد الشماط,Mohammed Al - Shamat
منذر الفاضل,Munther al-Fadhel
محمود البدرى,Mahmoud El Badry
نادر نور الدين,Nader Nour El Din
صابرين,Sabreen
عباس فتحى,Abbas Fathi
يوسف حسين,Youssef Hussein
نورا فريد,Nora Farid
صابر يوسف,Saber Yousef
يوسف منصور,Yousef Mansour
مصطفى الطوخي,Mostafa Toukhi
عادل توفيق,Adel Tawfiq
صادق أمين,trustworthy
محمد جابر,Mohammed Jaber
هدى رمزي,Huda Ramzy
سيد العجاتي,Sayed al-Ajati
مصطفى مهدي,Mostafa Mahdi
فردوس عبدالحميد,Ferdous Abdul Hamid
محمد الشال,Mohamed El Shal
سيد علام,Sayed Allam
ناديا حمدي,Nadia Hamdy
حسام تحسين بيك,Hossam Hassan Bey
عبداللطيف قلعي,Abdullatif Qalay
ناصر قدورة,Nasser Kaddoura
عرفان بوكلي حسن,Erfan Buckley is good
محمد شحاته,Mohammed Shehata
مريم يمق,Mary is amazed
عدنان دعبول,Adnan Daaboul
سامية الجزائري,Samia Aljazairy
فيصل سلامة,Faisal Salama
عامر عدنان,Amer Adnan
أحلام حلمي,Dreams of my dream
ميرفت علي,Mervat Ali
سمر,Samar
محمود خليفة,Mahmoud Khalifa
امل محمد رضا,Amal Mohammed Reza
محمد الحموي,Mohammed Al Hamwi
